Time,S_a0_mean,S_a0_sd,E_a0_mean,E_a0_sd,I_a0_mean,I_a0_sd,R_a0_mean,R_a0_sd,S_a1_mean,S_a1_sd,E_a1_mean,E_a1_sd,I_a1_mean,I_a1_sd,R_a1_mean,R_a1_sd,S_a2_mean,S_a2_sd,E_a2_mean,E_a2_sd,I_a2_mean,I_a2_sd,R_a2_mean,R_a2_sd
10,0.157,0.3956102975246063,68.381,8.644568674466504,87.266,7.289607834608278,43.854,7.050559863896937,0.339,0.5730684142468571,137.007,14.66820054086755,170.918,10.092925400652833,89.365,11.733347623182672,0.234,0.4748362554286156,136.57,14.212216121600708,101.284,9.02800359153943,61.436,8.687887164517239
11,0.192,0.45314604857743307,56.51,7.743892294438751,88.484,7.031584969776529,54.389,7.418943302096311,0.376,0.6172560287311943,113,12.752906987688597,172.687,10.029737116526366,109.839,12.121056018309584,0.259,0.4981637955202758,112.386,12.383956006315847,94.307,9.153498650108467,72.882,8.87303819482407
12,0.214,0.46088655482278545,46.858,6.797208106129902,87.722,6.775590352480338,64.693,7.566108444702402,0.437,0.6343764130494083,93.58,11.286761758404888,170.251,9.852566775824057,129.897,12.276037312263762,0.294,0.5494232119831359,92.532,10.9853381219539,85.472,9.262019272329388,83.359,9.075046858031945
13,0.263,0.5139018341036498,38.971,6.326150423375908,85.252,7.116539969756451,74.912,7.847792291074213,0.598,0.7918478534560935,77.691,9.758316644982562,164.86,9.870654984844208,149.367,12.266734846069829,0.37,0.6028793108603607,76.351,9.672608663559089,76.267,8.974198975242707,92.57,9.222480911021401
14,0.346,0.5971939723746721,32.39,5.831801600698528,82.043,7.0763851100845425,84.535,7.8001036285819065,0.64,0.8216295242230984,64.93,8.714071094215093,157.481,10.209008906983227,167.795,12.21663706677174,0.42,0.6403202402001752,63.269,8.80080070749776,67.001,8.384945217847658,100.621,9.381650940765937
15,0.391,0.6546354310206158,27.287,5.261208160804067,77.681,7.10335812814592,93.865,7.859041897046964,0.782,0.8724891043659154,54.466,7.887144670351309,148.982,10.4066312500239,185.028,12.186128085561785,0.446,0.6674799843662201,52.688,7.924231789230388,58.372,7.845200007849587,107.388,9.453614484779186
16,0.442,0.6535006220831493,23.12,4.681401020582996,73.431,6.898030285655596,102.17,7.592281787627665,0.909,0.9537445300648537,46.171,7.033436445168764,139.725,10.398630030273532,200.982,11.721051960428255,0.5,0.701778093482899,44.204,7.264237960939409,50.459,7.272909611305108,112.912,9.415567370525736
17,0.53,0.6997067882974908,19.822,4.276283737382566,68.697,7.0375221291103385,110.045,7.5303174355853475,1.097,1.0624122174183237,39.575,6.431153452899,130.244,10.201889165372389,215.522,11.524944266257444,0.589,0.7659410327601373,37.143,6.566861858960844,43.101,6.807873834476235,117.793,9.416731164572228
18,0.606,0.7715953339408937,17.164,4.013379026607281,64.049,6.922898636086298,117.198,7.348387224064529,1.207,1.1051571708912595,34.264,5.931060738306553,120.594,10.160925568490716,229.115,11.2370835650113,0.692,0.8023588846518619,31.511,5.844659018201066,36.91,6.103208103051144,121.534,9.463212794627225
19,0.736,0.8712422527994513,14.939,3.844223856262413,59.436,6.543754635125367,123.836,7.0148636702584835,1.417,1.1689642755351755,30.037,5.364177980399737,111.341,9.781328815319183,241.272,10.789273581869375,0.771,0.8793931614086684,26.868,5.476364356629913,31.68,5.638030452860945,124.438,9.45248673659506
20,0.822,0.9116727193171611,13.32,3.552776691859794,55.11,6.50601477313326,129.646,6.946289292488108,1.623,1.2595465285004193,26.633,5.064381399436555,102.567,9.534590679175453,252.169,10.538477048345197,0.816,0.893836082815492,23.105,5.029440353585105,27.018,5.356152010946325,126.924,9.44740585967796
