dead [6.04625019926899]
dead [8.149189741110783]
dead [7.42891525420587]
dead [0]
alive [7.261590059989914 28.27923866281148 42.12575103913988]
alive [5.509096629721821]
alive [6.2172809081238265 17.257981609315006 39.48132424786325]
alive [4.63189980635209 42.150611631330705]
alive [4.196257448296401 28.90396082420637]
alive [4.1385417864366785 18.157674495434396 44.7379600892997]
alive [5.646657325306762 35.041632894789466]
alive [8.62869511056871]
alive [5.880392160371391 18.468539449255456 25.91636645680665 46.54940100118522]
alive [6.3125971982937905 13.964051750090306 29.038534574200344 46.78672330980147]
alive [7.140352364834836 34.36158091049338 48.87761656776046]
alive [5.333451477111343 17.02146833597341 43.45346352148065]
alive [7.339470110231028 28.795140802075448]
alive [9.509788403900336 21.761135609367727 30.228236324316796]
alive [6.865811086241865 25.638774012693094 36.67019593479097]
alive [5.812610405370289 32.3159729654946]
alive [3.460691125081092 23.094053433848057 37.22204902214578]
alive [3.4877367511629744 21.973466770085427 25.985906102937133 49.90931406062458]
alive [4.515801333646194 12.35253427621626]
alive [4.451232935775536 8.167935463720159 28.225075530674182]
alive [4.163102627380111 22.46673548059569 39.42482621998859]
alive [5.7745300840282425 29.492823167350533]
alive [5.990320657146377 37.66845971232042]
alive [4.0655501886991985 10.531729439353214 37.8865387476823]
alive [7.3618432158036535 48.849004057563086]
alive [5.0788215455496495 20.543230878553967 31.627899030638833]
alive [7.252245307581235 20.394054974591917]
alive [8.050963580305769 14.206384191967139 34.5535987198956]
alive [2.579305371020632 22.877718155249166 43.03434021193183]
alive [6.970418653348989 26.37821379836425 43.33089090737504]
alive [4.30739425959591 8.512953515049052 20.84373040993173]
alive [5.459933869747534 37.258402273922385]
alive [6.7064060881059735 19.593229386293054 43.9412913668391]
alive [8.361256103020075 46.19595537566733]
alive [5.998735322468242 11.303472518440076 25.666734347788545 39.11447764081243]
alive [4.932182254123336 38.70276371329711 48.82507713251246]
alive [7.052769729416014]
alive [2.111427387362615 20.576822563003358]
alive [3.2201221438244136 19.461073490570147 37.15002326796324]
alive [7.35475434285534 16.23368690448837]
alive [4.41744968146727 44.2189687583135]
alive [6.192241090828565 28.902573505371286 46.911699190340855]
alive [7.1072609310677155 16.637937600187435 31.166118545293628]
alive [7.605454351700525 36.12835090255473]
alive [7.359544240774751 25.184600568938688]
alive [5.747987285689811]
alive [3.5326570615381088 25.60885517665348 37.740578148336226]
alive [4.0488127521969055 35.602395761472756]
alive [9.075385547791486 46.52214786507081]
alive [8.314971568533693 18.994522833645327]
alive [7.348461958353037 21.11083671382892 48.68460688982942]
alive [4.871564108680914 46.73369677113548]
alive [6.281317461355314 11.1032228539309 33.651382377049565]
alive [6.866844438682754 21.600108579310437 34.255474894430385]
alive [5.541059383483622 17.55602507644049]
alive [0.04341335313466189 5.0330402007786805 13.836750590537111 25.13427380480843 49.03130526478755]
alive [7.544088073673518 41.83828382704307]
alive [6.507485691600882 49.980349375169894]
alive [2.9216143955878824 20.088807502430143 48.61010396057229]
alive [5.197217984879597 19.30314670844017 37.85085552921249]
alive [4.409661618899267 8.95362692601992 29.914636101840504 49.212213379745926]
alive [5.975974274532217]
alive [7.783934054682178 29.192423616490068 43.82012459276798]
alive [6.991590479761539 43.30223143926507]
alive [6.227622623566648 30.831263633818306]
alive [6.87216081102299 20.426230702321728]
alive [4.875735568814629 31.46901742684798]
alive [4.835466233303027 18.550156710235445 39.408843984635446]
alive [6.217014770638308 32.18701492599341]
alive [4.2549417741282385 30.571366253250464 43.77268133428789]
alive [5.722031976720762 44.45216219914109]
alive [6.287844558864842 25.513204920174708 39.00962574867309]
alive [7.177554051529139 33.113924446429436 45.93431413755568]
alive [5.019611388972249 32.08469679937914]
alive [7.500375551706515 40.67885045838736]
alive [6.673437013520275 18.258996551340367 27.31853920417343 35.65494672434677]
alive [6.912691658412353 21.79038616931294]
alive [7.097087608013893 27.011478409272108]
alive [6.628258961503162 46.81380597412459]
alive [7.191191743679922 11.215092462760508 37.25451028718018]
alive [8.77052309663964 34.0194723633437]
alive [6.609485937238344]
alive [7.493482471319946]
alive [6.00808533227208 14.583488552763576 43.08130382079641]
alive [3.9386874325629293 28.966254946501238]
alive [5.1532106012185706 27.45468241447316 43.05700671071997]
alive [7.088993135117807 42.783223699714114 49.11947735157903]
alive [6.431722969909178 25.91723556111817 48.650957683211224]
alive [7.4571683932504556 24.15759042328003]
alive [6.794235679677984 9.79134248938994]
alive [4.372864920096157 30.118062198900837]
alive [3.478450462883917]
alive [5.373161130728545 28.74819568625357 32.03257282069906]
alive [3.4829297634242242 28.541386625448638 47.60341810596593]
alive [8.49790956805119 30.98802885640437 47.76350344025628]
alive [9.830741633437144]
alive [5.667138428278823 26.521488035674192]
alive [4.493709846111387 24.70578977976789]
alive [7.330242193284232 13.92435418891029 44.88731420054044]
alive [3.825179709158776 22.870515280507195]
alive [3.7288116692855455 19.193201098211297]
alive [7.05989935702715]
alive [6.216214248294074 17.45542402585762]
alive [7.091323540665659 45.84990011416218]
alive [2.7706575790355146 45.630558269585165]
alive [6.438269141526895 37.262373922899584 48.76216631389677]
alive [5.356300130248107 9.33527482030827 35.70219415332027]
alive [7.2530665904083325 42.00511530148957]
alive [4.0847561652688285 22.66112781204156]
alive [6.97175453009045 22.18765661556653 31.6774029916512]
alive [6.723945163301763 16.612020424965593 32.26868577642014 42.70488980605001]
alive [7.311845793234784]
alive [4.002852399724162 24.236444552019023]
alive [6.269124636395659 35.179318387996]
alive [7.549584963744468]
alive [3.9916772491623433 13.31017638582703 42.14804846247204]
alive [5.926575925447856 26.810753690968248]
alive [6.905464760583857 15.161678207367775 38.08179239682559 48.17723403290723]
alive [6.204823777547942 32.4797675699615 46.636708088698356]
alive [0.15603438635597097 25.62686011284583 46.01736510395414]
alive [5.412634574630665]
alive [4.797181259261759 26.26732348787526]
alive [7.886137275453984 15.083577488624703 37.650360648967826 45.79450775602375]
alive [5.209182894284939 20.399673193111386 43.26243555899237]
alive [5.2791641095597726 23.983175420473057 33.62105965187527]
alive [7.567790240224544 19.793000667550523]
alive [7.977529177016881 24.378450181918637]
alive [7.320389814110417 20.782125995378546 44.11101461507683]
alive [4.1130014477163375 24.421685421227643 35.751395737204675]
alive [4.308329772918835 20.588431653252226]
alive [4.231313987860281 14.681743668271263]
alive [5.350171925804018 32.107275695402436]
alive [2.873913043125204 19.519624072879093]
alive [7.162285042444927 49.105242308673404]
alive [4.308172980576905 24.32786029337789 35.30142435853633]
alive [6.543238966428758 23.8498517583467 44.51252682214023]
alive [3.9328057624432704 15.50313274434494 25.258969127277435]
alive [3.7617455579006145 44.55958781883429]
alive [8.573973545894534 44.65349651066057]
alive [5.90303436311375 8.461201924697619 27.72462454123792]
alive [4.985750166556263]
alive [6.9540359143182044 23.09805765921146]
alive [3.464946924397231 20.401739981840542]
alive [0.6808755822569617]
alive [6.361029277119462 27.622867825393893]
alive [3.398017807295243 14.960942658092481 35.10169919088229 49.03117626667022]
alive [7.532209542692859]
alive [5.853826733893257 25.62045594261349 40.775636035927725]
alive [6.3732353309309255 11.142608606731068 49.40532201874879]
alive [5.890530704458677 36.79784197501812]
alive [3.7328350479633534 22.989084527029874]
alive [5.850653539752675 13.930177874533578 42.659896041767546]
alive [4.2870680573612345 14.118840177631936 29.83839207751782]
alive [7.27893548020877 40.996404594425734]
alive [5.985722909882659 42.615007308709025]
alive [7.504935804841429 30.45270407888215]
alive [6.3179007778526]
