dead [0 10.936789481444288]
alive [5.101523454399431 11.27178498572569 48.91832825000072]
alive [6.5146591887536305 33.396575407465924 49.75506021634]
alive [6.612973963320748 19.687522313055666 47.70693082017885]
alive [5.386047643255877 14.326209383359762 24.67760407080286]
alive [3.3329000781224183 8.29858760769164 20.002656027763976]
alive [4.8505286165703465 13.886292943210934 46.32406822587592]
alive [4.5905962192535394 27.88859846153611]
alive [3.5974590322380515 28.344225256761856]
alive [7.830250911686964 31.81612185220529 41.94345089265053]
alive [5.135580887354707 11.71049692827619 19.725599989465938 31.63487963996522 43.89415372649667]
alive [3.6972671026145916]
alive [5.235204885581787 14.615347312783944]
alive [3.8879444926829745 23.607691784688292 41.57063534193539]
alive [5.513491057628675 25.580050506431487 34.80827701626721 42.50839678612372]
alive [5.397233107696586 12.141210140963226 34.000691345976755]
alive [3.4700201367196657 22.89662998769788 34.922255683834365]
alive [6.507277692475212 29.063494767388914]
alive [5.0233631193384625 25.679389772551446 34.82407200623792]
alive [6.940881850312313 17.03284061016722 34.42271159566051]
alive [4.828795663234986 24.556671883854953 38.87873571374762]
alive [4.313651331227233 6.4219210656196495 19.929591088444617 38.67573480159682 44.36006365241799]
alive [3.973557076378768 11.894760800058673 33.26881519017416 40.23145325055334]
alive [6.173225509996998 16.759920163143335]
alive [6.623660147691013 32.83717864944537 43.94976587378834]
alive [8.2004528272043 21.17462822233886 34.672061195621986]
alive [7.874378186573812 42.09964137017543]
alive [6.14485529642035 25.008296957987124]
alive [4.85495570459252 21.73482013763606]
alive [6.790545094284522 36.07217995028172]
alive [3.979573290153824 20.339285381055184 28.16736740356614 46.286457669421246]
alive [5.603050251966667 32.921298008987534 40.70254465281084 48.529721345882365]
alive [5.868768357878245 17.95011096567214 33.40455261650447 42.813592268217505]
alive [6.362248208743055 28.722686915024134]
alive [5.934457656699632 38.307448078506766]
alive [5.424557860125581 34.495096266424575]
alive [6.716799580568005 44.59442168543109]
alive [8.062473188756845 30.755202257968083 45.08356019029437]
alive [4.56456121226734 43.63664789401515]
alive [7.295521574345528 42.856928726906816]
alive [6.929391235357046 21.148416576981603 39.00426995832114]
alive [3.1260165256234362 11.682674950194885 46.86386770164986]
alive [4.7473435452263395 28.962576162021854 49.642602716877356]
alive [4.080474720728395 21.731679649066674 35.85369627835876 44.98907344625896]
alive [8.085611237432758 29.73178760059157 45.98835470941911]
alive [2.343450325629554 34.501689418748846]
alive [4.90392701507255]
alive [4.115464986270252 20.195272272055007 40.035553621766155]
alive [5.664894867001891 40.17237950941375]
alive [5.355881853218493 30.313714951235475]
alive [8.05455256906597 43.86473475194618]
alive [4.610645339225197 14.73022746461293 26.44489320443212]
alive [7.594722686418327 26.519151021192595 34.11059591963336]
alive [4.333056249375401 41.16331255322511]
alive [7.66838912023024 31.119370088452744 49.680135115538796]
alive [5.10448685394848 44.319987590801006]
alive [7.874049961340511 15.325089164483881 46.59911665929743]
alive [4.031817911613584 17.51892455860075 29.780606511531 46.1258609733308]
alive [4.114863305663032 35.89362996284408 43.080490443387966]
alive [8.203926866919778 21.379949027063372 46.24702628681265]
alive [7.243476324034847 41.60405616558478]
alive [4.871461840902337 44.48550446295489]
alive [3.9010066447770875 26.223346773120756 41.199504915109074]
alive [4.8377209468301405 18.79547409346475 36.00172139533801]
alive [2.476710121316084 19.90619710004248]
alive [5.354000050158622 15.970390034782284 36.15128745333597]
alive [5.088138627829055 12.411578216966575 33.59202577907465]
alive [4.924695741696213 38.75724542436887]
alive [4.830732501749252 47.55613147483706]
alive [3.2165250676428387 23.727473079676056 32.3831308504747]
alive [5.62616417591766 22.252316942575124]
alive [0.4224064056913 17.660045642451735 29.860501508666637 40.26080243372049]
alive [4.574282867013971 14.984852491256898 32.065370416800434 40.49858732571179]
alive [6.476299860571773 23.06750430073842]
alive [9.041115848315346]
alive [6.186301772812276 49.65076706162903]
alive [4.517654667191611 26.025388114547724 45.542906610361406]
alive [3.7039505688457206 9.738444649558646 21.4371738106079 41.77983185107501]
alive [5.306491677660926 19.00187657667737 35.575980462761905]
alive [7.832986147966792]
alive [4.606180142301313 21.8025044246329 31.43490307497776]
alive [5.227677163645419 18.577018363967376 31.85239745348746 48.046652225374594]
alive [7.512034489214786 23.846509598227712 44.683243130730375]
alive [9.370798726304276 15.84080304176415 41.474469131692786]
alive [5.850637793361047 27.5959946536312]
alive [6.093217467350097 32.54251581618115]
alive [2.6082236390296014 34.67008929567677]
alive [4.348142897319301 42.68004908235452]
alive [5.613354100334753 23.599341144531486 33.81153846625219]
alive [7.27837604253193 21.136030999609037]
alive [4.521642976282507 29.227589827687602 39.46335779892451]
alive [4.9018326509675365 15.551611336938688 33.468051526342734]
alive [6.077111110398068 20.66428604333105]
alive [7.538563391561389 34.76007456497963 43.996459384251445]
alive [7.799824543805781 27.641085293664144 37.94921698488336]
alive [1.9208435608757843 12.204678048080188 27.418068083344757 45.94084090660994]
alive [5.208822339575734]
alive [7.5432215298670675 26.680260221747233 37.2316663546852]
alive [6.39241251099962 45.958885261756976]
alive [6.0543609782938725 12.196296889646463 32.987114919004306]
alive [6.165271903527719 24.23109685724721 34.593758111294086]
alive [4.045624027384506 26.714964626456368 46.01679606091463]
alive [3.5514030142102446 24.549451907171125 43.76288962420601 48.74841691008029]
alive [1.9641563435137241 43.56451869399631]
alive [2.0182127051869774 19.287694180180303 21.7882613636462 27.83634044898841 45.579372514752386]
alive [4.71224234772996 26.635629022913683]
alive [7.173585289599522 33.90379472479567 49.44224532369564]
alive [6.857868445461396 32.179226196175854]
alive [3.1456329037529436 29.700127157234352 41.26402860584431]
alive [4.413813797718148 10.09629082660451 43.284164767857504]
alive [4.426332780769475 49.70791518210485]
alive [5.23505783809619 18.9446778850043 38.867303774959076]
alive [6.172840621608285 18.902585399845663 40.050281242460564]
alive [6.300318676317381 24.006852629229577 48.40960754797831]
alive [5.071728224404668 14.292185871660312 28.99278827114758 47.15926299460915]
alive [4.0070858975166175 11.322761826643639 27.084603252224102 33.903448248127575 41.14897143084957]
alive [5.784543220657173 29.093445928857573 46.2519245138859]
alive [6.591147368143664 45.3708940814274]
alive [5.22249633018618 23.993456373218162 44.60546533141158]
alive [3.412650976151676 32.93174876680908 43.56942117500372 48.229094170897994]
alive [5.108440327012298 38.46678727275719]
alive [7.759961933620228 48.61843418871757]
alive [6.322015124607419]
alive [6.003855653997899 20.151884010425675]
alive [5.923909573844873 36.82799524752109]
alive [5.816719689300753 40.52829032001824]
alive [8.576819463375896 41.85410823578074]
alive [6.663899576727345]
alive [6.955156255365378 48.73495776866915]
alive [5.653369899805493 27.440964336839464]
alive [6.564379619964179 25.11702297824972]
alive [5.287162789335785 22.943761194548067 45.25563218479022]
alive [4.125556089124403 16.160946903619763 40.129751391065554 44.404252223994206 47.976122069182125]
alive [5.496017091953788 43.64566737107841]
alive [2.1782639675580584 16.124247514727834 27.292191712082925 39.686771290783405 44.21171680098564]
alive [5.1989132966445935 43.30314801905042]
alive [5.276920655845187 11.602082247831609 27.65872235309015 34.158418882882884 48.52314415434003]
alive [6.102547177985052 17.618501868531947 38.45514075101847]
alive [3.9884553168730665 39.08354597617377]
alive [6.979669884215126 44.04630934111452]
alive [7.088340918052122 34.529888415730554]
alive [4.498894417419757 15.724586794416439 36.14870751064703]
alive [2.077521512300441 33.9861721227214]
alive [5.862899065863686 30.17682751202891]
alive [7.9574036898972125 32.66203644433921 45.83306809395251]
alive [7.045952569631876 31.69675417934905]
alive [4.955292465424816]
alive [4.448665513889121 28.012878845515893 41.257796569715566]
alive [7.625334957851785 43.20423489888023]
alive [4.919042250476175 33.20250761840861]
alive [5.904490137703523 18.77549157566659 33.495081498112874]
alive [6.619247096831779]
alive [2.7080457829777065]
alive [3.0057743720498102 11.926947933010332 39.055312210308955]
alive [5.676097211410398 19.592601746970026 26.42973575913487 46.21306902132944]
alive [2.994025967002426 15.614701826280008 47.9726346588527]
alive [5.8813279223095805]
alive [6.619533497009191 21.651311848095173 38.76910985810105]
alive [2.258435888644143 23.67868060839174 38.35540953048438]
alive [6.060821374988953 9.652671298279422 22.967212288799537 38.290376972267616]
alive [6.854750785485124 24.863136884507586 28.520078381551986 36.5755649890831 42.29660297710003]
alive [6.202993920176946 17.915005507158792 43.61961693672733]
alive [8.319646444958009 22.991324610795004]
alive [3.7300744782447444 34.27673284637346]
alive [2.81599640952713 25.938555679643805]
alive [2.8761068741167017 31.35018794119583]
alive [3.8122861644958213 14.282973069311744 31.017899015914107]
alive [7.331043100787509 23.571378701395833 42.98577600878718]
alive [5.254425528673081 25.174790208878424 33.05569956618]
alive [1.8559619287968507 29.104424650973687]
alive [0.07364546647762256 15.036981294170287 39.59191467384329]
alive [6.853055456304964 39.23426445730076]
alive [1.595436441688825 19.44169520446518 40.706487339343134]
alive [5.558445587934604 16.38937096629308 25.39910087236653]
alive [6.414309973596278 30.076573040331077]
alive [1.2574466377849454 11.356167512893562 39.469447732964674]
alive [6.846143932578436]
alive [4.342130506276073 30.23496798461937]
alive [6.405790212643181 26.403040484288198 47.375790911601946]
alive [6.118030494051013 15.907754952665664 32.92592446154019]
alive [5.9518575967726015]
alive [5.393495971502764 20.766746479746217 40.67661668014722]
