Time,S_a0_mean,S_a0_sd,E_a0_mean,E_a0_sd,I_a0_mean,I_a0_sd,R_a0_mean,R_a0_sd,S_a1_mean,S_a1_sd,E_a1_mean,E_a1_sd,I_a1_mean,I_a1_sd,R_a1_mean,R_a1_sd,S_a2_mean,S_a2_sd,E_a2_mean,E_a2_sd,I_a2_mean,I_a2_sd,R_a2_mean,R_a2_sd
10,59.297,21.215958802465373,84.266,11.164044064758965,42.711,10.236125109496134,13.62,4.7008188326819935,118.583,41.568389938053194,168.146,20.129278970491512,85.58,18.36030230417519,30.198,8.03052210539796,118.06,40.91941835851041,168.47,19.546743339369225,59.938,13.021586605238154,20.206,6.285305805533177
11,35.78,17.37554343062425,90.346,8.139689093481307,54.202,10.669443895209957,19.503,5.807384670978557,71.658,34.02291278821663,180.429,13.334870744697069,107.602,18.750551436669248,41.789,10.21493141552227,71.027,33.77965861781816,180.662,13.840133861538526,73.168,12.499840879868113,28.338,7.709032701006345
12,19.256,12.294047649476864,88.982,7.552000311752424,64.818,10.205833382680467,26.717,6.904098607173682,38.388,24.2554691520033,178.142,12.041712454582148,127.652,17.683200829928715,56.08,12.130735952725818,38.073,23.95699498285644,177.654,12.338091931595926,83.96,11.012523583433348,37.878,8.99945032244226
13,9.463,7.659850148945755,82.028,8.970712886370274,73.141,9.246762764428512,35.066,7.850941426432965,18.817,14.693311553370275,163.742,15.038803197116504,143.753,15.216817753477319,72.619,13.676728113547183,18.551,14.7271275979835,163.282,15.269303442777854,89.74,9.458851403308431,48.54,9.93202119636507
14,4.377,4.133516294507251,72.169,10.066964924086244,78.775,8.131574109451225,44.304,8.515873654775774,8.673,7.7524300171734,143.617,17.687485919659643,154.657,12.639901823911375,90.507,14.913831612747053,8.399,7.9531787388472575,143.123,17.423359160748664,91.159,8.781961161485619,59.321,10.653518501249081
15,2.142,2.2691374980342167,61.547,9.945285300065539,81.914,7.359535771145268,53.921,9.10690368317875,4.179,3.9164138312105496,122.498,17.84018688994788,160.041,10.715042283217137,109.155,15.721200053785052,3.839,3.9722610510712735,121.946,17.635818838548612,88.197,8.927815908546552,69.946,10.913761688537742
16,1.217,1.3474890451230863,51.965,9.265507251339487,82.639,6.983225933939446,63.611,9.30635735867086,2.418,2.092284314727244,103.081,16.608500271887323,161.056,10.120537994063818,127.731,16.098503060868758,1.954,1.9773198511606043,102.06,16.171206136460814,82.837,9.422272030153355,79.872,10.97552176791965
17,0.95,0.9932202608115113,43.318,8.219515584049734,81.875,7.0572785250534205,73.205,9.491314980552486,1.847,1.4204255026605965,86.293,14.73853369149643,158.133,10.374533336104422,146.403,16.353287774053907,1.338,1.291287506105214,84.798,14.24605721405562,75.885,9.650642979092632,88.848,10.926219761577116
18,0.876,0.9063362761389645,36.194,7.1841475469241285,79.592,7.084753328784971,82.619,9.401820740326484,1.803,1.368964961226205,72.198,12.910518094851092,152.951,10.753894422266068,164.168,16.24924040728716,1.139,1.0783514463484722,70.323,12.430091639975073,68.157,9.463927140300527,96.879,10.75490711382609
19,0.879,0.9355395417801613,30.388,6.3466318418304155,76.356,7.4318568673311045,91.589,9.392885888016808,1.903,1.3753117764646976,60.64,11.141478022799872,146.164,10.928153024575037,180.969,15.837135279268592,1.148,1.0503328992272873,58.685,10.823628131358076,60.141,9.242106661120912,103.819,10.387402809997171
20,1.04,1.0273536175316926,25.66,5.492227650467938,72.351,7.315416209233369,100.098,9.076606236957776,2.1,1.4622373740737644,51.142,9.72442288263938,138.19,10.992394313011735,196.819,15.148786245924942,1.224,1.10862665178727,48.983,9.246199392355932,52.452,8.577719584672447,109.839,10.223188963948216
