7.6 45 0 0 121 0 0 74 20 1
7.7 44 0 0 124 0 0 74 20 0
7.8 42 0 0 123 0 0 74 20 0
7.9 42 0 0 122 0 0 74 20 0
8 40 0 0 123 0 0 74 20 0
8.1 39 0 0 123 0 0 74 20 0
8.2 38 0 0 121 0 0 74 23 0
8.3 38 0 0 123 0 0 74 23 0
8.4 40 0 0 123 0 0 73 23 0
8.5 40 0 0 122 0 0 73 23 0
8.6 40 0 0 121 0 0 73 23 0
8.7 42 0 0 123 0 0 72 23 0
8.8 42 0 0 123 0 0 72 23 0
8.9 40 0 0 123 0 0 72 23 0
9 39 0 0 122 0 0 72 23 0
9.1 37 0 0 122 0 0 72 24 0
9.2 38 0 0 123 0 0 72 24 0
9.3 37 0 0 124 0 0 72 24 0
9.4 38 0 0 123 0 0 71 24 0
9.5 36 0 0 121 0 0 71 25 0
9.6 35 0 0 121 0 0 71 25 0
9.7 35 0 0 122 0 0 71 25 0
9.8 36 0 0 120 0 0 69 25 0
9.9 39 0 0 121 0 0 67 25 0
10 37 0 0 123 0 0 67 26 0
10.1 35 0 0 125 0 0 66 26 0
10.2 36 0 0 123 0 0 66 26 0
10.3 35 0 0 124 0 0 66 25 0
10.4 36 0 0 127 0 0 66 25 0
10.5 33 0 0 129 0 0 66 26 0
10.6 29 0 0 129 0 0 66 29 0
10.7 29 0 0 128 0 0 65 29 0
10.8 29 0 0 132 0 0 65 29 0
10.9 29 0 0 131 0 0 65 29 0
11 29 0 0 131 0 0 65 29 0
11.1 30 0 0 132 0 0 65 29 0
11.2 30 0 0 133 0 0 65 29 0
11.3 25 0 0 135 0 0 65 31 0
11.4 25 0 0 134 0 0 65 32 0
11.5 25 0 0 133 0 0 64 32 0
11.6 26 0 0 133 0 0 64 32 0
11.7 27 0 0 134 0 0 64 32 0
11.8 27 0 0 135 0 0 64 31 0
11.9 28 0 0 136 0 0 64 31 0
12 30 0 0 135 0 0 64 30 0
12.1 27 0 0 134 0 0 64 29 0
12.2 27 0 0 134 0 0 64 28 0
12.3 24 0 0 135 0 0 64 29 0
12.4 23 0 0 138 0 0 64 28 0
12.5 24 0 0 139 0 0 64 28 0
12.6 25 0 0 138 0 0 64 28 0
12.7 25 0 0 137 0 0 64 28 0
12.8 24 0 0 139 0 0 64 28 0
12.9 23 0 0 140 0 0 64 29 0
13 21 0 0 144 0 0 63 29 0
13.1 20 0 0 144 0 0 62 29 0
13.2 20 0 0 144 0 0 62 29 0
13.3 21 0 0 144 0 0 61 29 0
13.4 21 0 0 145 0 0 61 29 0
13.5 21 0 0 145 0 0 61 29 0
13.6 20 0 0 145 0 0 61 30 0
13.7 19 0 0 147 0 0 61 29 0
13.8 19 0 0 148 0 0 61 29 0
13.9 20 0 0 148 0 0 61 29 0
14 18 0 0 150 0 0 61 29 0
14.1 16 0 0 148 0 0 61 30 0
14.2 13 0 0 147 0 0 61 31 0
14.3 13 0 0 147 0 0 61 30 0
14.4 12 0 0 147 0 0 60 30 0
14.5 12 0 0 147 0 0 60 30 0
14.6 13 0 0 147 0 0 60 30 0
14.7 12 0 0 146 0 0 59 30 0
14.8 12 0 0 148 0 0 59 30 0
14.9 12 0 0 149 0 0 59 30 0
15 13 0 0 148 0 0 58 29 0
15.1 11 0 0 149 0 0 58 31 0
15.2 11 0 0 149 0 0 58 31 0
15.3 12 0 0 149 0 0 58 31 0
15.4 13 0 0 150 0 0 58 29 0
15.5 13 0 0 151 0 0 58 29 0
15.6 12 0 0 152 0 0 58 29 0
15.7 10 0 0 153 0 0 58 27 0
15.8 9 0 0 155 0 0 58 27 0
15.9 8 0 0 155 0 0 58 26 0
16 8 0 0 153 0 0 58 26 0
16.1 7 0 0 154 0 0 57 26 0
16.2 7 0 0 157 0 0 57 26 0
16.3 7 0 0 157 0 0 56 26 0
16.4 6 0 0 158 0 0 56 25 0
16.5 6 0 0 160 0 0 56 25 0
16.6 4 0 0 157 0 0 55 24 0
16.7 4 0 0 158 0 0 55 24 0
16.8 4 0 0 160 0 0 55 24 0
16.9 3 0 0 161 0 0 55 24 0
17 3 0 0 162 0 0 55 24 0
17.1 3 0 0 162 0 0 55 24 0
17.2 3 0 0 164 0 0 55 24 0
17.3 3 0 0 166 0 0 55 23 0
17.4 2 0 0 165 0 0 55 23 0
17.5 2 0 0 165 0 0 55 23 0
17.6 2 0 0 166 0 0 55 23 0
17.7 2 0 0 167 0 0 55 23 0
17.8 2 0 0 169 0 0 55 23 0
17.9 1 0 0 169 0 0 55 23 0
18 1 0 0 169 0 0 54 23 0
18.1 1 0 0 169 0 0 54 23 0
18.2 1 0 0 171 0 0 53 23 0
18.3 1 0 0 170 0 0 53 23 0
18.4 1 0 0 171 0 0 50 23 0
18.5 1 0 0 170 0 0 50 23 0
18.6 1 0 0 173 0 0 50 22 0
18.7 1 0 0 174 0 0 50 22 0
18.8 0 0 0 174 0 0 50 23 0
18.9 0 0 0 173 0 0 50 23 0
19 0 0 0 174 0 0 50 23 0
19.1 0 0 0 175 0 0 49 22 0
19.2 0 0 0 178 0 0 49 22 0
19.3 0 0 0 178 0 0 49 22 0
19.4 0 0 0 177 0 0 48 22 0
19.5 0 0 0 178 0 0 48 22 0
19.6 0 0 0 179 0 0 48 22 0
19.7 0 0 0 181 0 0 48 22 0
19.8 0 0 0 181 0 0 47 22 0
19.9 0 0 0 179 0 0 47 22 0
20 0 0 0 181 0 0 46 21 0
